"95后00后团队，弹性工作制，无责底薪6k，五险一金","15","2023-02-11 19:52:57","6","7","2023-01-30 12:37:33","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"首都发展的机会-链家地产-无责底薪6000-五险一金","15","2023-02-11 19:52:57","6","6","2023-01-30 12:35:45","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"营销岗-应届生-毕业生-实习生-总部直招","15","2023-02-11 19:52:57","6","6","2023-01-30 12:35:08","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t1.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"美股港股双上市-贝壳找房-营销岗-无责底薪6000+","15","2023-02-11 19:52:57","6","5","2023-01-11 12:46:19","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"中国房地产排名第一公司-五险一金-无责底薪","15","2023-02-11 19:52:57","6","6","2023-01-11 12:44:49","本科及以上","北京链家置地房地产经纪有限公司海淀第七十六分公司","https://t3.chei.com.cn/student/ncss/cdn/job/img/g15llzukck6pzwpx.png","北京","5000以上","五险一金，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金","工商管理 市场营销 电子商务 经济学类 体育学类 教育学类 化工与制药类 经济与贸易类 农业类 财务 金融学类","上市公司"
"护士","20","2023-02-11 19:44:17","10","10","2023-01-13 15:33:05","专科及以上","西安珍妮母婴护理服务有限公司","","陕西","1-49人","null","护理学","民营企业"
"幼师","20","2023-02-11 19:44:12","10","10","2023-01-13 16:16:06","专科及以上","西安珍妮母婴护理服务有限公司","","陕西","1-49人","null","学前教育、小学教育、华文教育","民营企业"
"商务","10","2023-02-11 19:06:03","5","1","2023-02-04 16:31:35","专科及以上","北京云飞腾博科技开发有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/9nec2te9w410t0o2.png","北京","1-49人","岗位晋升，技能培训，扁平管理，午餐补助","计算机专业或会计专业，熟练使用计算机，办公软件，","民营企业"
"销售顾问","28","2023-02-11 18:18:25","3","30","2023-01-31 09:32:57","专科及以上","杭州思恩建筑科技有限公司","https://t2.chei.com.cn/student/ncss/cdn/job/img/bcauw2cq3ndgtfyt.png","浙江","1-49人","技能培训，年度旅游","","其他"
"销售顾问","6","2023-02-11 18:18:19","3","30","2023-01-27 11:43:45","专科及以上","杭州思恩建筑科技有限公司","https://t4.chei.com.cn/student/ncss/cdn/job/img/bcauw2cq3ndgtfyt.png","浙江","1-49人","技能培训，年度旅游","","其他"
